ruleset,ruleset_short,iteration,training_games,training_elapsed_seconds,cumulative_decisions,cumulative_optimizer_steps,evaluated_repetitions,diagnostic_games,wins,losses,win_rate_percent,ci95_low_percent,ci95_high_percent,diagnostic_seconds
double-four,D4,11,22000,29.116545000000002,49367.0,1584.0,1,10000,5026.0,4974.0,50.260000000000005,49.280101582996096,51.239698730515485,2.487722396850586
double-four,D4,12,24000,31.830545,53876.0,1728.0,1,10000,5029.0,4971.0,50.29,49.310093294808105,51.26968397795479,2.539579153060913
double-four,D4,13,26000,34.53267,58339.0,1872.0,1,10000,5046.0,4954.0,50.46000000000001,49.48005298903185,51.43959371948863,2.473532199859619
double-four,D4,14,28000,37.24386,62789.0,2016.0,1,10000,5054.0,4946.0,50.54,49.560037939790824,51.51954732673318,2.4719667434692383
double-four,D4,15,30000,39.91275,67334.0,2160.0,1,10000,5061.0,4939.0,50.61,49.63002682887612,51.589504675901,2.5221900939941406
double-four,D4,16,32000,42.599500000000006,71730.0,2304.0,1,10000,5074.0,4926.0,50.739999999999995,49.760011288603,51.71942037292989,2.5034945011138916
double-four,D4,17,34000,45.307595,76219.0,2448.0,1,10000,5101.0,4899.0,51.01,50.03000017640209,51.98922411839282,2.48968505859375
double-four,D4,18,36000,48.03681,80762.0,2592.0,1,10000,5094.0,4906.0,50.94,49.96000031359513,51.91927774294667,2.5706562995910645
double-four,D4,19,38000,50.760705,85205.0,2736.0,1,10000,5110.0,4890.0,51.1,50.12000282253683,52.07915235001208,2.5002007484436035
double-four,D4,20,40000,53.52068,89716.0,2880.0,1,10000,5120.0,4880.0,51.2,50.220009487264115,52.17906888278924,2.5122783184051514
double-four,D4,21,42000,56.205615,94178.0,3024.0,1,10000,5127.0,4873.0,51.27,50.290016485612796,52.24900812269369,2.48677659034729
double-four,D4,22,44000,58.94833,98727.0,3168.0,1,10000,5126.0,4874.0,51.25999999999999,50.28001536820735,52.23901692034866,2.477238416671753
double-four,D4,23,46000,61.66924,103182.0,3312.0,1,10000,5135.0,4865.0,51.349999999999994,50.370026836659974,52.32893632965004,2.505105972290039
double-four,D4,24,48000,64.37949499999999,107704.0,3456.0,1,10000,5156.0,4844.0,51.559999999999995,50.580065951614806,52.53873592945456,2.4839136600494385
double-four,D4,25,50000,67.143975,112234.0,3600.0,1,10000,5169.0,4831.0,51.690000000000005,50.71009883609394,52.668603201731216,2.4586639404296875
double-four,D4,26,52000,69.87349499999999,116786.0,3744.0,1,10000,5182.0,4818.0,51.82,50.84013835292669,52.79846384165423,2.5482256412506104
double-four,D4,27,54000,72.66320999999999,121262.0,3888.0,1,10000,5191.0,4809.0,51.910000000000004,50.93016959690895,52.88836347542598,2.485853910446167
double-four,D4,28,56000,75.463405,125716.0,4032.0,1,10000,5196.0,4804.0,51.959999999999994,50.98018832885115,52.93830634223598,2.471564531326294
double-four,D4,29,58000,78.21529,130179.0,4176.0,1,10000,5205.0,4795.0,52.05,51.070224520301736,53.028201028539414,2.541407585144043
double-four,D4,30,60000,81.01623000000001,134663.0,4320.0,1,10000,5205.0,4795.0,52.05,51.070224520301736,53.028201028539414,2.474622964859009
double-five,D5,0,0,0.0,0.0,0.0,1,10000,5042.0,4958.0,50.42,49.440061454037185,51.39961597548148,2.744312047958374
double-five,D5,1,2000,3.76241,5972.0,192.0,1,10000,5043.0,4957.0,50.43,49.45005927901299,51.409610470256126,2.7544045448303223
double-five,D5,2,4000,7.0425699999999996,11955.0,384.0,1,10000,5064.0,4936.0,50.63999999999999,49.660022654842514,51.619485809185925,2.759716510772705
double-five,D5,3,6000,10.284265,17934.0,576.0,1,10000,5086.0,4914.0,50.86000000000001,49.88000282227131,51.83933667626693,2.846386671066284
double-five,D5,4,8000,13.52542,23823.0,768.0,1,10000,5090.0,4910.0,50.9,49.920001254361466,51.879307523178554,2.736905574798584
double-five,D5,5,10000,16.818585,29775.0,960.0,1,10000,5102.0,4898.0,51.019999999999996,50.04000031360497,51.99921630094039,2.718219041824341
double-five,D5,6,12000,20.181885,35694.0,1152.0,1,10000,5122.0,4878.0,51.22,50.2400112907273,52.19905171882695,2.8240249156951904
double-five,D5,7,14000,23.537795,41759.0,1344.0,1,10000,5119.0,4881.0,51.190000000000005,50.21000864434975,52.16907740595318,2.702798843383789
double-five,D5,8,16000,26.921385,47710.0,1536.0,1,10000,5133.0,4867.0,51.33,50.35002401358899,52.30895451322015,2.729534864425659
double-five,D5,9,18000,30.46358,53704.0,1728.0,1,10000,5141.0,4859.0,51.41,50.43003624718042,52.38888083763228,2.7512755393981934
double-five,D5,10,20000,33.928025,59646.0,1920.0,1,10000,5167.0,4833.0,51.67,50.69009334529534,52.64862405302894,2.7254674434661865
double-five,D5,11,22000,37.39633,65629.0,2112.0,1,10000,5169.0,4831.0,51.690000000000005,50.71009883609394,52.668603201731216,2.8321635723114014
double-five,D5,12,24000,40.977000000000004,71622.0,2304.0,1,10000,5179.0,4821.0,51.790000000000006,50.81012864489419,52.7684965904354,2.7359654903411865
double-five,D5,13,26000,44.452355,77587.0,2496.0,1,10000,5193.0,4807.0,51.93,50.95017697188957,52.90834073994623,2.78497576713562
double-five,D5,14,28000,47.926985,83581.0,2688.0,1,10000,5207.0,4793.0,52.07000000000001,51.09023299486193,53.048177193480115,2.7184832096099854
double-five,D5,15,30000,51.298715,89543.0,2880.0,1,10000,5217.0,4783.0,52.17,51.19027772452056,53.14805566132594,2.711515188217163
double-five,D5,16,32000,54.73016,95522.0,3072.0,1,10000,5233.0,4767.0,52.33,51.350357464389475,53.30785303746413,2.7780520915985107
double-five,D5,17,34000,58.17394,101557.0,3264.0,1,10000,5254.0,4746.0,52.54,51.56047739385857,53.51757182275437,2.6960389614105225
double-five,D5,18,36000,61.613195000000005,107608.0,3456.0,1,10000,5266.0,4734.0,52.66,51.68055371153913,53.637403342079146,2.683743476867676
double-five,D5,19,38000,65.06287499999999,113679.0,3648.0,1,10000,5277.0,4723.0,52.769999999999996,51.79062864641685,53.74724392445632,2.750016927719116
double-five,D5,20,40000,68.54156499999999,119695.0,3840.0,1,10000,5295.0,4705.0,52.949999999999996,51.97076154049546,53.92697278588571,2.673872232437134
double-five,D5,21,42000,72.059955,125807.0,4032.0,1,10000,5304.0,4696.0,53.04,52.06083277204727,54.0168324320879,2.7376604080200195
double-five,D5,22,44000,75.51923,131864.0,4224.0,1,10000,5310.0,4690.0,53.1,52.120882032486,54.07673709015185,2.7168941497802734
double-five,D5,23,46000,79.03487,137922.0,4416.0,1,10000,5310.0,4690.0,53.1,52.120882032486,54.07673709015185,2.696648359298706
double-five,D5,24,48000,82.523035,143965.0,4608.0,1,10000,5310.0,4690.0,53.1,52.120882032486,54.07673709015185,2.7561874389648438
double-five,D5,25,50000,86.039715,149960.0,4800.0,1,10000,5318.0,4682.0,53.18000000000001,52.20094991976908,54.15660776087233,2.708388328552246
double-five,D5,26,52000,89.56675,155989.0,4992.0,1,10000,5318.0,4682.0,53.18000000000001,52.20094991976908,54.15660776087233,2.68931245803833
double-five,D5,27,54000,93.12575000000001,162031.0,5184.0,1,10000,5325.0,4675.0,53.25,52.27101139046939,54.226492528425126,2.7784790992736816
double-five,D5,28,56000,96.650495,168053.0,5376.0,1,10000,5340.0,4660.0,53.400000000000006,52.42114961953261,54.37623909561857,2.7202231884002686
double-five,D5,29,58000,100.18376,173957.0,5568.0,1,10000,5358.0,4642.0,53.580000000000005,52.60132721175941,54.555923258899796,2.7150020599365234
double-five,D5,30,60000,103.752445,180010.0,5760.0,1,10000,5360.0,4640.0,53.6,52.62134773365995,54.575887376500134,2.71117901802063
double-six,D6,0,0,0.0,0.0,0.0,1,10000,5042.0,4958.0,50.42,49.440061454037185,51.39961597548148,3.1721150875091553
double-six,D6,1,2000,4.712735,7836.0,240.0,1,10000,5060.0,4940.0,50.6,49.620028298593375,51.57951088643331,3.227180242538452
double-six,D6,2,4000,8.951045,15710.0,480.0,1,10000,5102.0,4898.0,51.019999999999996,50.04000031360497,51.99921630094039,3.1707544326782227
double-six,D6,3,6000,13.15616,23599.0,720.0,1,10000,5100.0,4900.0,51.0,50.020000078400614,51.97923189664384,3.152776002883911
double-six,D6,4,8000,17.426665,31581.0,976.0,1,10000,5132.0,4868.0,51.32,50.34002266088233,52.29896354617636,3.220754623413086
double-six,D6,5,10000,21.675060000000002,39474.0,1216.0,1,10000,5146.0,4854.0,51.459999999999994,50.48004516794008,52.43883351562483,3.1494507789611816
double-six,D6,6,12000,25.896295,47402.0,1456.0,1,10000,5148.0,4852.0,51.480000000000004,50.500049010832136,52.45881431223367,3.210880756378174
double-six,D6,7,14000,30.15438,55325.0,1696.0,1,10000,5198.0,4802.0,51.980000000000004,51.00019609649667,52.95828321409138,3.165146827697754
double-six,D6,8,16000,34.339775,63183.0,1936.0,1,10000,5209.0,4791.0,52.09,51.11024162653543,53.068153201307524,3.170822858810425
double-six,D6,9,18000,38.561475,71018.0,2176.0,1,10000,5219.0,4781.0,52.190000000000005,51.21028714187986,53.16803088346752,3.2414095401763916
double-six,D6,10,20000,42.814325,78902.0,2416.0,1,10000,5241.0,4759.0,52.410000000000004,51.43040110736153,53.38774795249562,3.161938190460205
double-six,D6,11,22000,47.024275,86804.0,2656.0,1,10000,5243.0,4757.0,52.43,51.45041241122493,53.407721288133125,3.1297171115875244
double-six,D6,12,24000,51.42923,94766.0,2912.0,1,10000,5267.0,4733.0,52.669999999999995,51.69056032705394,53.64738904631478,3.2305965423583984
double-six,D6,13,26000,55.677485,102689.0,3152.0,1,10000,5281.0,4719.0,52.81,51.83065707612487,53.78718477375008,3.1748623847961426
double-six,D6,14,28000,60.00429,110529.0,3392.0,1,10000,5276.0,4724.0,52.76,51.78062163738916,53.737258613733566,3.1907284259796143
double-six,D6,15,30000,64.30804499999999,118400.0,3632.0,1,10000,5307.0,4693.0,53.06999999999999,52.090857224966925,54.04678493841958,3.1760058403015137
double-six,D6,16,32000,68.75265999999999,126323.0,3872.0,1,10000,5302.0,4698.0,53.02,52.04081666708118,53.99686389755311,3.1472513675689697
double-six,D6,17,34000,73.130425,134188.0,4112.0,1,10000,5322.0,4678.0,53.22,52.24098480935264,54.19654215029055,3.204604148864746
double-six,D6,18,36000,77.544255,142049.0,4352.0,1,10000,5326.0,4674.0,53.26,52.28102032969344,54.23647590895151,3.1904287338256836
double-six,D6,19,38000,81.874435,149858.0,4592.0,1,10000,5356.0,4644.0,53.559999999999995,52.58130684778093,54.53595898337738,3.2695014476776123
double-six,D6,20,40000,86.407145,157799.0,4848.0,1,10000,5377.0,4623.0,53.769999999999996,52.79152854787088,54.745575998046746,3.174812078475952
double-six,D6,21,42000,90.966055,165748.0,5104.0,1,10000,5379.0,4621.0,53.790000000000006,52.81155057072405,54.76553861469448,3.207993745803833
double-six,D6,22,44000,95.51512,173728.0,5360.0,1,10000,5399.0,4601.0,53.99,53.01177949549738,54.965156084930044,3.16980242729187
double-six,D6,23,46000,100.02002999999999,181588.0,5600.0,1,10000,5408.0,4592.0,54.08,53.10188767261239,55.05497878556902,3.1524434089660645
double-six,D6,24,48000,104.58979500000001,189615.0,5856.0,1,10000,5395.0,4605.0,53.949999999999996,52.971732445279876,54.92523385614577,3.1331801414489746
double-six,D6,25,50000,109.134405,197619.0,6112.0,1,10000,5411.0,4589.0,54.11,53.13192444387431,55.08491897355845,3.229527235031128
double-six,D6,26,52000,113.7034,205557.0,6368.0,1,10000,5407.0,4593.0,54.06999999999999,53.09187549467139,55.04499864375957,3.1583943367004395
double-six,D6,27,54000,118.26085,213305.0,6608.0,1,10000,5434.0,4566.0,54.339999999999996,53.362218194594526,55.31444857709846,3.220426082611084
double-six,D6,28,56000,122.748165,221087.0,6848.0,1,10000,5449.0,4551.0,54.49,53.51242106252075,55.46413050542892,3.1733615398406982
double-six,D6,29,58000,127.2256,228915.0,7088.0,1,10000,5463.0,4537.0,54.63,53.652618455948755,55.603825588507135,3.142134428024292
double-six,D6,30,60000,131.97793000000001,236890.0,7344.0,1,10000,5479.0,4521.0,54.790000000000006,53.81285357359702,55.763467586865985,3.1944212913513184
