ruleset,ruleset_short,repetition,tiles,hand_size,initial_stock,input_size,hidden1,hidden2,output_size,parameter_count,initial_hidden_hand_upper_bound,training_games,iterations,decisions,decisions_per_game,optimizer_steps,optimizer_steps_per_iteration,full_buffer_evaluations,full_buffer_evaluations_per_iteration,external_wall_seconds,execution_seconds,games_per_second,seconds_per_iteration,rollout_seconds,ppo_seconds,buffer_and_reward_seconds,checkpoint_serialization_seconds,fixed_and_other_seconds,rollout_share_percent,ppo_share_percent,ppo_optimizer_seconds,ppo_full_evaluation_seconds,ppo_other_seconds,ppo_full_evaluation_share_percent,worker_cpu_seconds,profiled_games,profiled_game_cpu_seconds,profiled_cpu_ms_per_game,learner_policy_calls,learner_policy_us_per_call,learner_exact_model_us_per_call,learner_forward_us_per_call,learner_encoding_us_per_call,learner_selection_us_per_call,learner_exact_model_share_percent,mean_final_kl,max_final_kl,mean_clip_fraction,mean_epochs,kl_early_stops,gradient_clipped_iterations,weights_sha256
double-three,D3,1,10,4,2,69,96,48,20,12356,15,60000,30,91671,1.52785,2880,96.0,480,16.0,49.29005177199724,48.22215891897213,1244.241264701944,1.607405297299071,9.561251048085978,34.435356835019775,1.026275668758899,1.977273593103746,3.199275367107475,19.827505160338806,71.40981989811289,19.640641363308532,12.435141536698211,2.3595739350130316,36.11155126480939,84.12638030850212,1875,2.7802598221460357,1.4828052384778858,4920,251.7732240049532,89.19260632488081,45.144478094809486,33.39062009254713,72.62710791613104,35.425771218279394,3e-05,7e-05,0.0,16.0,0,0,1374c18ec9b27b55d6ef243b1d2c90ab7e44024bdb31dfda64d525b9b8d01060
double-three,D3,2,10,4,2,69,96,48,20,12356,15,60000,30,91671,1.52785,2880,96.0,480,16.0,47.180385393003235,46.19563305398333,1298.8240669823738,1.5398544351327776,9.296493206988089,32.75898939801846,1.060695090010995,1.890527585928794,3.079455358965788,20.1241818596238,70.91360640027798,18.555062472150894,11.937006009102333,2.2669209167652298,36.43887137075232,81.57706817711005,1875,2.6975901991245337,1.438714772866418,4920,243.6295476880746,86.96838438452214,43.433325523008946,32.38475269981569,69.8151046609434,35.69697732061223,3e-05,7e-05,0.0,16.0,0,0,1374c18ec9b27b55d6ef243b1d2c90ab7e44024bdb31dfda64d525b9b8d01060
double-four,D4,1,15,5,5,97,128,64,30,22750,252,60000,30,134663,2.2443833333333334,4320,144.0,480,16.0,83.69942641799571,82.71555797298788,725.3774437403176,2.7571852657662625,27.069254234957043,50.241158851917135,1.2226906710420735,2.868997667945223,4.18245421507163,32.72571073484985,60.739672297591476,29.082166923355544,17.91272033349378,3.2462715950678103,35.65347763233422,250.01675534169772,1875,7.938624846050516,4.233933251226942,7798,481.5996778027995,327.9276191867292,43.97099302087608,35.260407191906175,64.22735713502317,68.09132860778318,1.2666666666666668e-05,2e-05,0.0,16.0,0,0,8ea6a98db5160519b16d442548ba20706153fb71a14f7610cfa7a2082e85dd6d
double-four,D4,2,15,5,5,97,128,64,30,22750,252,60000,30,134663,2.2443833333333334,4320,144.0,480,16.0,80.54087732400512,79.56021604899433,754.1457650523615,2.6520072016331446,26.496557366015622,47.713762211060384,1.278757086955011,2.76777324496652,4.071139384963317,33.30377754341273,59.97188617697765,27.622509785869624,16.973472422920167,3.1177800022705924,35.57353609601885,242.93885938753374,1875,7.74374664662173,4.129998211531589,7798,469.13369143385654,317.8891403061104,43.217099866062824,34.596307579858866,63.458834192267716,67.76088482038382,1.2666666666666668e-05,2e-05,0.0,16.0,0,0,8ea6a98db5160519b16d442548ba20706153fb71a14f7610cfa7a2082e85dd6d
double-five,D5,1,21,6,9,130,192,96,42,47754,5005,60000,30,180010,3.000166666666667,5760,192.0,480,16.0,105.920411064988,104.96379504198558,571.6256731761648,3.498793168066186,30.674505388888065,65.94898589889635,1.6749819809629116,5.211173631978454,6.665321773238247,29.223891320448395,62.83022243290338,38.255629832536215,23.536581651016604,4.156774415343534,35.689072895070076,283.41938265250064,1875,9.174801188200945,4.893227300373837,12183,353.2274549019994,208.64972818289223,41.064175802249274,37.51791595981435,56.93293445312703,59.0695103926111,3.366666666666667e-05,5e-05,0.0,16.0,0,0,77480d2331f3c0219bf4bd042dbc61c6fee5ecf0ec83d16e68974313bda6a2ee
double-five,D5,2,21,6,9,130,192,96,42,47754,5005,60000,30,180010,3.000166666666667,5760,192.0,480,16.0,103.80569920298876,102.79701548200683,583.6745329488886,3.426567182733561,29.892783041927032,64.91264356003376,1.539724076690618,5.075093251885846,6.45186480335542,29.07942696756536,63.146428187300636,37.821755217708414,23.02958112102351,4.061307221301831,35.47780502842232,275.2190616990265,1875,8.90660095307976,4.750187174975872,12183,343.4842662093974,201.65629101845138,40.914324199727155,35.80100414345701,56.26864969006219,58.709032947528435,3.366666666666667e-05,5e-05,0.0,16.0,0,0,77480d2331f3c0219bf4bd042dbc61c6fee5ecf0ec83d16e68974313bda6a2ee
double-six,D6,1,28,7,14,168,256,128,56,83384,116280,60000,30,236890,3.948166666666667,7344,244.8,480,16.0,133.53858271200443,132.51026143101626,452.79512206860676,4.417008714367209,36.24849841091782,84.16267106795567,1.958211338991532,8.525387359026354,10.14088061315124,27.35523877129205,63.51407819972498,48.08367319352692,31.022738820902305,5.056259053526446,36.86044944540025,332.15896980275284,1875,10.77253998798551,5.745354660258939,17354,297.50784466063936,156.51298480730264,39.63674440825882,41.4960439435477,51.705436227415234,52.608019457716665,3.0333333333333337e-05,5e-05,0.0,16.0,0,0,e4abafb1d93a121d7e6a4a0f32a63c710a66075de6907190af86ba4f94b3e043
double-six,D6,2,28,7,14,168,256,128,56,83384,116280,60000,30,236890,3.948166666666667,7344,244.8,480,16.0,132.83884622901678,131.7452453369915,455.4244052339486,4.391508177899717,35.427785993000725,84.23281366494484,2.052793480863329,8.411058385041542,10.031852198182605,26.89113060769662,63.93613177423254,48.329917231341824,30.82858172658598,5.074314707017038,36.599254358537365,325.6620347535063,1875,10.59066970346612,5.64835717518193,17354,292.66903286845564,154.1047379535717,39.02007140972899,40.71980165444307,50.7725997471416,52.65495171907591,3.0333333333333337e-05,5e-05,0.0,16.0,0,0,e4abafb1d93a121d7e6a4a0f32a63c710a66075de6907190af86ba4f94b3e043
