ruleset,repetition,section,seconds
double-five,1,opponent_performance_retention,0.0010988230933435261
double-five,1,opponent_performance_update,0.004258651140844449
double-five,1,opponent_pool_admission_and_retention,0.015548424940789118
double-five,1,pipeline_and_progress_callbacks,0.012391937081702054
double-five,1,policy_snapshot_synchronization,0.011304500076221302
double-five,1,ppo_buffer_assembly_and_advantage_normalization,1.3478572650055867
double-five,1,ppo_update,65.94898589889635
double-five,1,resource_preflight_runner_setup_and_metrics_open,0.022605194011703134
double-five,1,reward_statistics,0.32712471595732495
double-five,1,rollout_game_execution,30.674505388888065
double-five,1,unaccounted,0.15306493497337215
double-five,1,validation_model_load_and_resume,0.0013197429943829775
double-five,2,adaptive_tuning,0.011096878006355837
double-five,2,checkpoint_archive_update,0.04147692205151543
double-five,2,checkpoint_serialization,5.075093251885846
double-five,2,console_logging,0.0018989250238519162
double-five,2,decision_buffer_memory_preflight,0.16848946089157835
double-five,2,final_checkpoint_shutdown_and_summary,0.08328520299983211
double-five,2,iteration_control_overhead,0.09013062439044006
double-five,2,matchmaking_plan_construction,0.46984986716415733
double-five,2,matchmaking_result_aggregation,0.23174711401225068
double-five,2,metrics_jsonl_write_and_fsync,0.0524815650715027
double-five,2,metrics_payload_construction,0.0012273310276214033
double-five,2,opponent_performance_retention,0.0011277050653006881
double-five,2,opponent_performance_update,0.004037358885398135
double-five,2,opponent_pool_admission_and_retention,0.015434100991114974
double-five,2,pipeline_and_progress_callbacks,0.01226493698777631
double-five,2,policy_snapshot_synchronization,0.011143339972477406
double-five,2,ppo_buffer_assembly_and_advantage_normalization,1.2366516708862036
double-five,2,ppo_update,64.91264356003376
double-five,2,resource_preflight_runner_setup_and_metrics_open,0.02107727201655507
double-five,2,reward_statistics,0.3030724058044143
double-five,2,rollout_game_execution,29.892783041927032
double-five,2,unaccounted,0.1585226038878318
double-five,2,validation_model_load_and_resume,0.001480343024013564
double-six,1,adaptive_tuning,0.01196918499772437
double-six,1,checkpoint_archive_update,0.06685992711572908
double-six,1,checkpoint_serialization,8.525387359026354
double-six,1,console_logging,0.0019321180589031428
double-six,1,decision_buffer_memory_preflight,0.23506841590278782
double-six,1,final_checkpoint_shutdown_and_summary,0.10300247400300577
double-six,1,iteration_control_overhead,0.09459506932762451
double-six,1,matchmaking_plan_construction,0.49273645190987736
double-six,1,matchmaking_result_aggregation,0.2478525909828022
double-six,1,metrics_jsonl_write_and_fsync,0.06034321602783166
double-six,1,metrics_payload_construction,0.0013609310262836516
double-six,1,opponent_performance_retention,0.001062509894836694
double-six,1,opponent_performance_update,0.003986101975897327
double-six,1,opponent_pool_admission_and_retention,0.020378218934638426
double-six,1,pipeline_and_progress_callbacks,0.01449720497475937
double-six,1,policy_snapshot_synchronization,0.013155636988813058
double-six,1,ppo_buffer_assembly_and_advantage_normalization,1.6154879570240155
double-six,1,ppo_update,84.16267106795567
double-six,1,resource_preflight_runner_setup_and_metrics_open,0.03078991500660777
double-six,1,reward_statistics,0.3427233819675166
double-six,1,rollout_game_execution,36.24849841091782
double-six,1,unaccounted,0.21434830699581653
double-six,1,validation_model_load_and_resume,0.0015549800009466708
double-six,2,adaptive_tuning,0.01199843900394626
double-six,2,checkpoint_archive_update,0.06304228995577432
double-six,2,checkpoint_serialization,8.411058385041542
double-six,2,console_logging,0.0019308480550535023
double-six,2,decision_buffer_memory_preflight,0.2699275880586356
double-six,2,final_checkpoint_shutdown_and_summary,0.08759629799169488
double-six,2,iteration_control_overhead,0.10378956038039178
double-six,2,matchmaking_plan_construction,0.49194697200437076
double-six,2,matchmaking_result_aggregation,0.24621669593034312
double-six,2,metrics_jsonl_write_and_fsync,0.05248631798895076
double-six,2,metrics_payload_construction,0.0012836969108320773
double-six,2,opponent_performance_retention,0.001119640946853906
double-six,2,opponent_performance_update,0.004141388839343563
double-six,2,opponent_pool_admission_and_retention,0.020014110079500824
double-six,2,pipeline_and_progress_callbacks,0.014015715016284958
double-six,2,policy_snapshot_synchronization,0.012949668045621365
double-six,2,ppo_buffer_assembly_and_advantage_normalization,1.6961970918928273
double-six,2,ppo_update,84.23281366494484
double-six,2,resource_preflight_runner_setup_and_metrics_open,0.031317428016336635
double-six,2,reward_statistics,0.3565963889705017
double-six,2,rollout_game_execution,35.427785993000725
double-six,2,unaccounted,0.20548018591944128
double-six,2,validation_model_load_and_resume,0.0015369699976872653
