ruleset,ruleset_short,baseline_win_rate_percent,final_win_rate_percent,gain_percentage_points,best_win_rate_percent,best_iteration,gain_first_10_iterations_pp,gain_middle_10_iterations_pp,gain_last_10_iterations_pp,early_slope_pp_per_iteration,middle_slope_pp_per_iteration,late_slope_pp_per_iteration,late_to_early_slope_ratio,gain_fraction_at_iteration_10,gain_fraction_at_iteration_20,iteration_to_plus_1pp,seconds_to_plus_1pp,iteration_to_plus_2pp,seconds_to_plus_2pp,training_elapsed_seconds,experimental_checkpoint_capture_seconds,adjusted_training_seconds_without_extra_curve_checkpoints,total_decisions,total_optimizer_steps,gain_pp_per_training_minute,adjusted_gain_pp_per_training_minute,gain_pp_per_100k_decisions,gain_pp_per_1000_optimizer_steps,diagnostic_games_per_point,diagnostic_seconds_all_points
double-three,D3,49.86,52.25,2.3900000000000006,52.25,30,0.6899999999999977,1.1300000000000097,0.5699999999999932,0.0790909090909103,0.14245454545454578,0.03809090909090776,0.4816091954022747,0.28870292887029186,0.7615062761506305,15,23.643465,22,34.53035,47.111825,1.93390058951627,45.24238776346761,91671.0,2880.0,3.0438218005776685,3.169593982300662,2.607149480206391,0.8298611111111113,10000,36.47599244117737
double-four,D4,49.4,52.05,2.6499999999999986,52.05,29,0.7499999999999929,1.0500000000000114,0.8499999999999943,0.07090909090909206,0.10781818181818414,0.09863636363636344,1.3910256410256157,0.2830188679245258,0.6792452830188699,13,34.53267,24,64.37949499999999,81.01623000000001,2.8183854564558715,78.291790725426,134663.0,4320.0,1.9625697221408587,2.0308642646535247,1.9678753629430497,0.6134259259259256,10000,77.31161332130432
double-five,D5,50.42,53.6,3.1799999999999997,53.6,30,1.25,1.279999999999994,0.6500000000000057,0.12018181818181771,0.1346363636363641,0.06081818181818229,0.5060514372163448,0.39308176100628933,0.7955974842767277,10,33.928025,17,58.17394,103.752445,5.14313344193215,98.78074933946559,180010.0,5760.0,1.8389928063863938,1.9315504415167482,1.7665685239708906,0.5520833333333333,10000,84.88784742355347
double-six,D6,50.42,54.790000000000006,4.3700000000000045,54.790000000000006,30,1.990000000000002,1.3599999999999923,1.0200000000000102,0.19672727272727422,0.12881818181818325,0.0963636363636351,0.48983364140479574,0.45537757437070936,0.7665903890160162,5,21.675060000000002,11,47.024275,131.97793000000001,8.468222872033948,123.79198122370053,236890.0,7344.0,1.9866958058820914,2.1180693402603117,1.8447380640803768,0.5950435729847501,10000,98.71342206001282
