ruleset,ruleset_short,repetitions,median_tiles,median_hand_size,median_initial_stock,median_input_size,median_hidden1,median_hidden2,median_output_size,median_parameter_count,median_initial_hidden_hand_upper_bound,median_training_games,median_iterations,median_decisions,median_decisions_per_game,median_optimizer_steps,median_optimizer_steps_per_iteration,median_full_buffer_evaluations,median_full_buffer_evaluations_per_iteration,median_external_wall_seconds,min_external_wall_seconds,max_external_wall_seconds,cv_external_wall_seconds_percent,median_execution_seconds,min_execution_seconds,max_execution_seconds,cv_execution_seconds_percent,median_games_per_second,median_seconds_per_iteration,median_rollout_seconds,min_rollout_seconds,max_rollout_seconds,cv_rollout_seconds_percent,median_ppo_seconds,min_ppo_seconds,max_ppo_seconds,cv_ppo_seconds_percent,median_buffer_and_reward_seconds,median_checkpoint_serialization_seconds,median_fixed_and_other_seconds,median_rollout_share_percent,median_ppo_share_percent,median_ppo_optimizer_seconds,median_ppo_full_evaluation_seconds,median_ppo_other_seconds,median_ppo_full_evaluation_share_percent,median_worker_cpu_seconds,median_profiled_games,median_profiled_game_cpu_seconds,median_profiled_cpu_ms_per_game,median_learner_policy_calls,median_learner_policy_us_per_call,median_learner_exact_model_us_per_call,median_learner_forward_us_per_call,median_learner_encoding_us_per_call,median_learner_selection_us_per_call,median_learner_exact_model_share_percent,median_mean_final_kl,median_max_final_kl,median_mean_clip_fraction,median_mean_epochs,median_kl_early_stops,median_gradient_clipped_iterations
double-three,D3,2,10.0,4.0,2.0,69.0,96.0,48.0,20.0,12356.0,15.0,60000.0,30.0,91671.0,1.52785,2880.0,96.0,480.0,16.0,48.23521858250024,47.180385393003235,49.29005177199724,2.186852719850009,47.20889598647773,46.19563305398333,48.22215891897213,2.146338971334201,1271.5326658421588,1.5736298662159243,9.428872127537034,9.296493206988089,9.561251048085978,1.4039740783240864,33.597173116519116,32.75898939801846,34.435356835019775,2.4948042967595367,1.043485379384947,1.93390058951627,3.1393653630366316,19.975843509981303,71.16171314919544,19.097851917729713,12.186073772900272,2.3132474258891307,36.27521131778086,82.85172424280609,1875.0,2.7389250106352847,1.460760005672152,4920.0,247.70138584651392,88.08049535470147,44.288901808909216,32.88768639618141,71.22110628853721,35.56137426944581,3e-05,7e-05,0.0,16.0,0.0,0.0
double-four,D4,2,15.0,5.0,5.0,97.0,128.0,64.0,30.0,22750.0,252.0,60000.0,30.0,134663.0,2.2443833333333334,4320.0,144.0,480.0,16.0,82.12015187100042,80.54087732400512,83.69942641799571,1.9231266759907102,81.13788701099111,79.56021604899433,82.71555797298788,1.944431904891803,739.7616043963396,2.7045962336997036,26.782905800486333,26.496557366015622,27.069254234957043,1.069146255465345,48.97746053148876,47.713762211060384,50.241158851917135,2.5801630111383864,1.2507238789985422,2.8183854564558715,4.126796800017473,33.01474413913129,60.355779237284565,28.352338354612584,17.443096378206974,3.1820257986692013,35.613506864176536,246.47780736461573,1875.0,7.841185746336123,4.1819657313792655,7798.0,475.366684618328,322.90837974641977,43.59404644346945,34.92835738588252,63.84309566364544,67.9261067140835,1.2666666666666668e-05,2e-05,0.0,16.0,0.0,0.0
double-five,D5,2,21.0,6.0,9.0,130.0,192.0,96.0,42.0,47754.0,5005.0,60000.0,30.0,180010.0,3.000166666666667,5760.0,192.0,480.0,16.0,104.86305513398838,103.80569920298876,105.920411064988,1.0083207376025687,103.8804052619962,102.79701548200683,104.96379504198558,1.0429202478147475,577.6501030625267,3.4626801753998735,30.28364421540755,29.892783041927032,30.674505388888065,1.2906675653046276,65.43081472946506,64.91264356003376,65.94898589889635,0.7919375168623006,1.6073530288267648,5.14313344193215,6.558593288296834,29.151659144006878,62.98832531010201,38.038692525122315,23.283081386020058,4.109040818322683,35.5834389617462,279.31922217576357,1875.0,9.040701070640353,4.821707237674855,12183.0,348.3558605556984,205.1530096006718,40.989250000988214,36.659460051635676,56.60079207159461,58.88927167006977,3.366666666666667e-05,5e-05,0.0,16.0,0.0,0.0
double-six,D6,2,28.0,7.0,14.0,168.0,256.0,128.0,56.0,83384.0,116280.0,60000.0,30.0,236890.0,3.948166666666667,7344.0,244.8,480.0,16.0,133.1887144705106,132.83884622901678,133.53858271200443,0.2626861013598022,132.12775338400388,131.7452453369915,132.51026143101626,0.2894986384130012,454.1097636512777,4.404258446133463,35.83814220195927,35.427785993000725,36.24849841091782,1.1450264543459299,84.19774236645026,84.16267106795567,84.23281366494484,0.041653490353632604,2.0055024099274306,8.468222872033948,10.086366405666922,27.123184689494337,63.725104986978764,48.20679521243437,30.925660273744143,5.065286880271742,36.72985190196881,328.91050227812957,1875.0,10.681604845725815,5.696855917720434,17354.0,295.0884387645475,155.30886138043718,39.32840790899391,41.10792279899538,51.239017987278416,52.63148558839629,3.0333333333333337e-05,5e-05,0.0,16.0,0.0,0.0
