execucao,arquitetura,lr,partidas,iteracoes,horas,vitoria_pct,ic95_baixo_pct,ic95_alto_pct
bucket_heuristic,anterior,0.001,6900000,3450,1.752,65.341,65.045,65.635
bucket_heuristic,anterior,0.001,7000000,3500,1.778,65.506,65.211,65.8
bucket_heuristic,anterior,0.001,7100000,3550,1.803,65.607,65.312,65.901
bucket_heuristic,anterior,0.001,7200000,3600,1.828,65.518,65.223,65.812
bucket_heuristic,anterior,0.001,7300000,3650,1.853,65.486,65.191,65.78
bucket_heuristic,anterior,0.001,7400000,3700,1.878,65.649,65.354,65.943
bucket_heuristic,anterior,0.001,7500000,3750,1.903,65.825,65.53,66.118
bucket_heuristic,anterior,0.001,7600000,3800,1.928,65.857,65.562,66.15
bucket_heuristic,anterior,0.001,7700000,3850,1.953,65.763,65.468,66.056
bucket_heuristic,anterior,0.001,7800000,3900,1.978,65.676,65.381,65.97
bucket_heuristic,anterior,0.001,7900000,3950,2.003,65.707,65.412,66.001
bucket_heuristic,anterior,0.001,8000000,4000,2.029,65.525,65.23,65.819
bucket_heuristic,anterior,0.001,8100000,4050,2.054,65.767,65.472,66.06
bucket_heuristic,anterior,0.001,8200000,4100,2.079,65.565,65.27,65.859
bucket_heuristic,anterior,0.001,8300000,4150,2.104,65.573,65.278,65.867
bucket_heuristic,anterior,0.001,8400000,4200,2.13,65.653,65.358,65.947
bucket_heuristic,anterior,0.001,8500000,4250,2.155,65.6,65.305,65.894
bucket_heuristic,anterior,0.001,8600000,4300,2.18,65.693,65.398,65.987
bucket_heuristic,anterior,0.001,8700000,4350,2.205,65.777,65.482,66.07
bucket_heuristic,anterior,0.001,8800000,4400,2.23,65.597,65.302,65.891
bucket_heuristic,anterior,0.001,8900000,4450,2.255,65.7,65.405,65.994
bucket_heuristic,anterior,0.001,9000000,4500,2.28,65.751,65.456,66.045
bucket_heuristic,anterior,0.001,9100000,4550,2.306,65.719,65.424,66.013
bucket_heuristic,anterior,0.001,9200000,4600,2.331,65.879,65.585,66.172
bucket_heuristic,anterior,0.001,9300000,4650,2.356,65.724,65.429,66.018
bucket_heuristic,anterior,0.001,9400000,4700,2.381,65.742,65.447,66.036
bucket_heuristic,anterior,0.001,9500000,4750,2.406,65.679,65.384,65.973
bucket_heuristic,anterior,0.001,9600000,4800,2.432,65.82,65.525,66.113
bucket_heuristic,anterior,0.001,9700000,4850,2.457,65.767,65.472,66.06
bucket_heuristic,anterior,0.001,9800000,4900,2.482,65.94,65.646,66.233
bucket_heuristic,anterior,0.001,9900000,4950,2.507,65.803,65.508,66.096
bucket_heuristic,anterior,0.001,10000000,5000,2.532,65.678,65.383,65.972
bucket_heuristic,anterior,0.001,10100000,5050,2.557,65.903,65.609,66.196
bucket_heuristic,anterior,0.001,10200000,5100,2.583,65.459,65.164,65.753
bucket_heuristic,anterior,0.001,10300000,5150,2.608,65.706,65.411,66.0
bucket_heuristic,anterior,0.001,10400000,5200,2.633,65.606,65.311,65.9
bucket_heuristic,anterior,0.001,10500000,5250,2.658,65.782,65.487,66.075
bucket_heuristic,anterior,0.001,10600000,5300,2.683,65.692,65.397,65.986
bucket_heuristic,anterior,0.001,10700000,5350,2.708,65.831,65.536,66.124
bucket_heuristic,anterior,0.001,10800000,5400,2.733,65.8,65.505,66.093
bucket_heuristic,anterior,0.001,10900000,5450,2.758,65.744,65.449,66.038
bucket_heuristic,anterior,0.001,11000000,5500,2.783,65.804,65.509,66.097
bucket_heuristic,anterior,0.001,11100000,5550,2.808,65.812,65.517,66.105
bucket_heuristic,anterior,0.001,11200000,5600,2.833,65.811,65.516,66.104
bucket_heuristic,anterior,0.001,11300000,5650,2.859,65.734,65.439,66.028
bucket_heuristic,anterior,0.001,11400000,5700,2.884,65.788,65.493,66.081
bucket_heuristic,anterior,0.001,11500000,5750,2.909,65.826,65.531,66.119
bucket_heuristic,anterior,0.001,11600000,5800,2.934,65.849,65.554,66.142
bucket_heuristic,anterior,0.001,11700000,5850,2.959,65.799,65.504,66.092
bucket_heuristic,anterior,0.001,11800000,5900,2.984,65.681,65.386,65.975
bucket_heuristic,anterior,0.001,11900000,5950,3.01,65.785,65.49,66.078
bucket_heuristic,anterior,0.001,12000000,6000,3.035,65.825,65.53,66.118
bucket_heuristic,anterior,0.001,12100000,6050,3.06,65.892,65.598,66.185
bucket_heuristic,anterior,0.001,12200000,6100,3.085,65.993,65.699,66.286
bucket_heuristic,anterior,0.001,12300000,6150,3.11,65.981,65.687,66.274
bucket_heuristic,anterior,0.001,12400000,6200,3.136,65.919,65.625,66.212
bucket_heuristic,anterior,0.001,12500000,6250,3.161,65.824,65.529,66.117
bucket_heuristic,anterior,0.001,12600000,6300,3.186,66.101,65.807,66.394
bucket_heuristic,anterior,0.001,12700000,6350,3.211,65.973,65.679,66.266
bucket_heuristic,anterior,0.001,12800000,6400,3.236,65.931,65.637,66.224
bucket_heuristic,anterior,0.001,12900000,6450,3.261,66.039,65.745,66.332
bucket_heuristic,anterior,0.001,13000000,6500,3.287,66.034,65.74,66.327
bucket_heuristic,anterior,0.001,13100000,6550,3.312,65.959,65.665,66.252
bucket_heuristic,anterior,0.001,13200000,6600,3.337,65.857,65.562,66.15
bucket_heuristic,anterior,0.001,13300000,6650,3.362,65.837,65.542,66.13
bucket_heuristic,anterior,0.001,13400000,6700,3.387,65.821,65.526,66.114
bucket_heuristic,anterior,0.001,13500000,6750,3.412,65.927,65.633,66.22
bucket_heuristic,anterior,0.001,13600000,6800,3.437,66.034,65.74,66.327
bucket_heuristic,anterior,0.001,13700000,6850,3.462,65.985,65.691,66.278
bucket_heuristic,anterior,0.001,13800000,6900,3.487,65.928,65.634,66.221
bucket_heuristic,anterior,0.001,13900000,6950,3.512,65.884,65.59,66.177
bucket_heuristic,anterior,0.001,14000000,7000,3.537,66.03,65.736,66.323
bucket_heuristic,anterior,0.001,14100000,7050,3.562,66.025,65.731,66.318
bucket_heuristic,anterior,0.001,14200000,7100,3.587,66.053,65.759,66.346
bucket_heuristic,anterior,0.001,14300000,7150,3.612,66.012,65.718,66.305
bucket_heuristic,anterior,0.001,14400000,7200,3.637,66.001,65.707,66.294
bucket_heuristic,anterior,0.001,14500000,7250,3.663,66.017,65.723,66.31
bucket_heuristic,anterior,0.001,14600000,7300,3.688,66.072,65.778,66.365
bucket_heuristic,anterior,0.001,14700000,7350,3.713,65.917,65.623,66.21
bucket_heuristic,anterior,0.001,14800000,7400,3.738,65.997,65.703,66.29
bucket_heuristic,anterior,0.001,14900000,7450,3.763,65.948,65.654,66.241
bucket_heuristic,anterior,0.001,15000000,7500,3.788,65.918,65.624,66.211
bucket_heuristic,anterior,0.001,15100000,7550,3.813,65.853,65.558,66.146
bucket_heuristic,anterior,0.001,15200000,7600,3.838,65.877,65.583,66.17
bucket_heuristic,anterior,0.001,15300000,7650,3.863,65.961,65.667,66.254
bucket_heuristic,anterior,0.001,15400000,7700,3.888,65.873,65.579,66.166
bucket_heuristic,anterior,0.001,15500000,7750,3.913,65.961,65.667,66.254
bucket_heuristic,anterior,0.001,15600000,7800,3.938,66.026,65.732,66.319
bucket_heuristic,anterior,0.001,15700000,7850,3.963,65.915,65.621,66.208
bucket_heuristic,anterior,0.001,15800000,7900,3.988,66.108,65.814,66.401
bucket_heuristic,anterior,0.001,15900000,7950,4.013,65.98,65.686,66.273
bucket_heuristic,anterior,0.001,16000000,8000,4.038,66.058,65.764,66.351
bucket_heuristic,anterior,0.001,16100000,8050,4.063,66.09,65.796,66.383
bucket_heuristic,anterior,0.001,16200000,8100,4.088,65.852,65.557,66.145
bucket_heuristic,anterior,0.001,16300000,8150,4.113,65.947,65.653,66.24
bucket_heuristic,anterior,0.001,16400000,8200,4.138,66.123,65.829,66.416
