iteration,applied_learning_rate,next_learning_rate,exponent,active,ema_max_kl,hold_streak,cooldown_remaining,promoted,max_approx_kl,cumulative_games,final_clip_fraction,entropy,epochs_completed,update_seconds
28,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012678219773327713,28,0,False,0.001459318286204277,216000,0.01739,0.2759,16,1.28369
29,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012469477143589264,29,0,False,0.0010590793475943221,224000,0.00954,0.27568,16,1.2846
30,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012358633575597756,30,0,False,0.0011361041463674197,232000,0.01185,0.27338,16,1.29413
31,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012572788019310434,31,0,False,0.001450017801272453,240000,0.01669,0.27651,16,1.28737
32,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012480701390190229,32,0,False,0.0011651921728108383,248000,0.01163,0.27567,16,1.28006
33,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012503374854547892,33,0,False,0.0012707436033766862,256000,0.01393,0.27316,16,1.29245
34,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001251308746672733,34,0,False,0.001260050097634228,264000,0.01461,0.27226,16,1.20455
35,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012262943521819546,35,0,False,0.0010011648017649484,272000,0.00965,0.27504,16,1.29749
36,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001221433780928089,36,0,False,0.0011776886396432996,280000,0.01336,0.27296,16,1.21864
37,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012057059004941255,37,0,False,0.001064154976588455,288000,0.00966,0.27446,16,1.28951
38,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001218636487698435,38,0,False,0.00133501177253722,296000,0.01437,0.27751,16,1.19426
39,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011986884199923693,39,0,False,0.0010191558106377788,300000,0.01033,0.26913,16,0.62597
40,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011861817507047103,40,0,False,0.0010736217271157783,308000,0.00974,0.27382,16,1.25869
41,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011731489050999767,41,0,False,0.0010558532946573728,316000,0.01015,0.27057,16,1.27477
42,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011831001002695347,42,0,False,0.0012726608567955576,324000,0.01358,0.27291,16,1.19757
43,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001192447482802396,43,0,False,0.001276573925598148,332000,0.01318,0.27216,16,1.29937
44,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012016564440533513,44,0,False,0.0012845370953119477,340000,0.01435,0.27331,16,1.20143
45,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011943215845630396,45,0,False,0.0011283078491502333,348000,0.01141,0.27077,16,1.20819
46,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001185954758278722,46,0,False,0.0011106533217198641,356000,0.01108,0.27171,16,1.18865
47,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011881383721948238,47,0,False,0.0012077908974397389,364000,0.01245,0.27318,16,1.21505
48,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011895243266849046,48,0,False,0.0012019979170956301,372000,0.01386,0.27311,16,1.19298
49,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011948281394473102,49,0,False,0.0012425624543089611,380000,0.01297,0.27125,16,1.29875
50,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001178118151149672,50,0,False,0.001027728256470927,388000,0.00994,0.27341,16,1.21216
51,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001197796446078831,51,0,False,0.0013749011004412616,396000,0.01532,0.27277,16,1.21092
52,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012072892879720835,52,0,False,0.0012927248650113558,400000,0.01622,0.26932,16,0.61798
53,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001198170951563009,53,0,False,0.0011161059238813376,408000,0.01075,0.27146,16,1.28951
54,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001185553825210263,54,0,False,0.0010719996880355482,416000,0.00999,0.26944,16,1.28075
55,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011865589412013672,55,0,False,0.001195604985121306,424000,0.01205,0.2717,16,1.28376
56,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011943842854041967,56,0,False,0.0012648123832296634,432000,0.01311,0.26901,16,1.31378
57,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0011980049051835966,57,0,False,0.0012305904831981956,440000,0.01272,0.26931,16,1.27305
58,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001194971535248013,58,0,False,0.0011676712058277612,448000,0.01113,0.27064,16,1.21554
59,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012037753829221465,59,0,False,0.0012830100119893472,456000,0.0134,0.27439,16,1.3075
60,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012091372551765915,60,0,False,0.0012573941054665986,464000,0.01352,0.27167,16,1.2935
61,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012111409184340238,61,0,False,0.0012291738877509137,472000,0.0125,0.26709,16,1.31025
62,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012302384061527618,62,0,False,0.001402115795621405,480000,0.01492,0.27228,16,1.29148
63,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012452813149340805,63,0,False,0.001380667493965948,488000,0.01463,0.2726,16,1.29548
64,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012399247603280018,64,0,False,0.0011917157688732933,496000,0.01239,0.26962,16,1.29646
65,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012660429683961387,65,0,False,0.001501106841009368,500000,0.01881,0.27451,16,0.61225
66,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012561743353996882,66,0,False,0.0011673566384316346,508000,0.01061,0.27238,16,1.26312
67,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012621582153803815,67,0,False,0.0013160131352066217,516000,0.01505,0.27183,16,1.20837
68,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001260837345034467,68,0,False,0.0012489495119212364,524000,0.01445,0.27342,16,1.20715
69,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001264201154341877,69,0,False,0.0012944754381085655,532000,0.01441,0.27263,16,1.28701
70,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012632873289154664,70,0,False,0.0012550629000777722,540000,0.01259,0.273,16,1.26993
71,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012462803074051393,71,0,False,0.0010932171138121965,548000,0.0106,0.27176,16,1.21465
72,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012575907911958697,72,0,False,0.0013593851453124436,556000,0.01573,0.27201,16,1.28941
73,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012628572204467464,73,0,False,0.001310255083704636,564000,0.01428,0.27073,16,1.29645
74,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012533951011624996,74,0,False,0.0011682360276042774,572000,0.01107,0.27271,16,1.20804
75,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012528466407312412,75,0,False,0.001247910496849915,580000,0.01282,0.27331,16,1.32493
76,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001247226987235661,76,0,False,0.001196650105775437,588000,0.01236,0.2725,16,1.19548
77,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012441841449134022,77,0,False,0.0012167985640130728,596000,0.01173,0.27328,16,1.23129
78,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012664706685726215,78,0,False,0.0014670493815055958,600000,0.01658,0.27404,16,0.64391
79,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012613341296113744,79,0,False,0.0012151052789601503,608000,0.01221,0.27094,16,1.26748
80,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001262525003634283,80,0,False,0.0012732428698404598,616000,0.0134,0.27014,16,1.28576
81,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012730274299264923,81,0,False,0.0013675492665563766,624000,0.01463,0.27268,16,1.2919
82,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012708706271169733,82,0,False,0.0012514594018313012,632000,0.01377,0.27049,16,1.27799
83,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001265487660431102,83,0,False,0.0012170409602582594,640000,0.01242,0.27149,16,1.27113
84,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001261023196004919,84,0,False,0.0012208430161692718,648000,0.01248,0.27286,16,1.21213
85,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012580115074376124,85,0,False,0.0012309063103318532,656000,0.01231,0.271,16,1.29077
86,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012553051465818959,86,0,False,0.0012309478988804478,664000,0.0133,0.27131,16,1.28113
87,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012451652779507745,87,0,False,0.0011539064602706821,672000,0.01173,0.27205,16,1.31173
88,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012349625736593436,88,0,False,0.0011431382350364666,680000,0.01102,0.27457,16,1.27363
89,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012248627933823012,89,0,False,0.0011339647708889205,688000,0.01076,0.27237,16,1.21351
90,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012277540401931203,90,0,False,0.0012537752614904917,696000,0.014,0.2701,16,1.20942
91,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001207715285473501,91,0,False,0.0010273664929969267,700000,0.00944,0.27468,16,0.61201
92,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012153034915775652,92,0,False,0.0012835973465141416,708000,0.01347,0.27022,16,1.20088
93,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012170529341412068,93,0,False,0.0012327979172139804,716000,0.01283,0.27273,16,1.28809
94,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012596699180823256,94,0,False,0.0016432227735523955,724000,0.01913,0.2724,16,1.20757
95,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012588393676697667,95,0,False,0.0012513644139567365,732000,0.01304,0.26946,16,1.19192
96,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012582758648772689,96,0,False,0.0012532043397447885,740000,0.01235,0.27348,16,1.20504
97,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012451449475793927,97,0,False,0.001126966691898506,748000,0.01074,0.27436,16,1.20812
98,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012449908966023664,98,0,False,0.00124360443780913,756000,0.01352,0.27448,16,1.19398
99,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012646473010977496,99,0,False,0.0014415549415561985,764000,0.01653,0.27353,16,1.20755
100,8.779149519890261e-05,0.00013168724279835392,5,True,0.0012530365821057027,0,100,True,0.0011485401111772794,772000,0.01139,0.27261,16,1.29955
101,0.00013168724279835392,0.00013168724279835392,5,True,0.0012585463726688736,0,99,False,0.0013081344877374115,780000,0.01448,0.27279,16,1.21645
102,0.00013168724279835392,0.00013168724279835392,5,True,0.0012368942551881997,0,98,False,0.001042025197862136,788000,0.00873,0.27082,16,1.2917
103,0.00013168724279835392,0.00013168724279835392,5,True,0.0012439235302899902,0,97,False,0.0013071870062061055,796000,0.01365,0.27442,16,1.32577
104,0.00013168724279835392,0.00013168724279835392,5,True,0.0012669656323879381,0,96,False,0.0014743445512694696,800000,0.01704,0.27329,16,0.61325
105,0.00013168724279835392,0.00013168724279835392,5,True,0.0012889577919589289,0,95,False,0.001486887228097845,808000,0.01734,0.27561,16,1.20499
106,0.00013168724279835392,0.00013168724279835392,5,True,0.001302464393938432,0,94,False,0.0014240238117539602,816000,0.01561,0.27185,16,1.2836
107,0.00013168724279835392,0.00013168724279835392,5,True,0.0013057795653666512,0,93,False,0.0013356161082206256,824000,0.01441,0.27106,16,1.21237
108,0.00013168724279835392,0.00013168724279835392,5,True,0.0013139074095996845,0,92,False,0.0013870580076969833,832000,0.01521,0.26953,16,1.28927
109,0.00013168724279835392,0.00013168724279835392,5,True,0.0013188288459776395,0,91,False,0.0013631217733792345,840000,0.01546,0.27011,16,1.27472
110,0.00013168724279835392,0.00013168724279835392,5,True,0.001312847044638114,0,90,False,0.0012590108325823853,848000,0.01312,0.27232,16,1.29217
111,0.00013168724279835392,0.00013168724279835392,5,True,0.001331420650314583,0,89,False,0.0014985831014028058,856000,0.01725,0.26854,16,1.2123
112,0.00013168724279835392,0.00013168724279835392,5,True,0.0013385767346847518,0,88,False,0.00140298149401627,864000,0.01537,0.26928,16,1.215
113,0.00013168724279835392,0.00013168724279835392,5,True,0.001334612197944091,0,87,False,0.001298931367278145,872000,0.0134,0.26927,16,1.21087
114,0.00013168724279835392,0.00013168724279835392,5,True,0.0013274661038841283,0,86,False,0.001263151257344465,880000,0.01279,0.27151,16,1.35806
115,0.00013168724279835392,0.00013168724279835392,5,True,0.0013311592398902437,0,85,False,0.0013643974639452813,888000,0.01474,0.27058,16,1.22027
116,0.00013168724279835392,0.00013168724279835392,5,True,0.0013145365213387983,0,84,False,0.0011649320543757886,896000,0.01158,0.26766,16,1.27393
117,0.00013168724279835392,0.00013168724279835392,5,True,0.0013329268109721977,0,83,False,0.0014984394176727927,900000,0.01846,0.26938,16,0.61366
118,0.00013168724279835392,0.00013168724279835392,5,True,0.001326429241182914,0,82,False,0.0012679511130793614,908000,0.01379,0.26806,16,1.26158
119,0.00013168724279835392,0.00013168724279835392,5,True,0.001328273958625832,0,81,False,0.0013448764156120943,916000,0.01396,0.26978,16,1.21063
120,0.00013168724279835392,0.00013168724279835392,5,True,0.0013240813560020297,0,80,False,0.0012863479323878106,924000,0.01341,0.27159,16,1.20954
121,0.00013168724279835392,0.00013168724279835392,5,True,0.001319355071700219,0,79,False,0.0012768185129839247,932000,0.01389,0.27071,16,1.28854
122,0.00013168724279835392,0.00013168724279835392,5,True,0.0013131463850082797,0,78,False,0.001257268204780824,940000,0.01318,0.26979,16,1.1979
123,0.00013168724279835392,0.00013168724279835392,5,True,0.0013162909841218924,0,77,False,0.001344592376144406,948000,0.0141,0.26789,16,1.20376
124,0.00013168724279835392,0.00013168724279835392,5,True,0.0013102447920479141,0,76,False,0.0012558290633821099,956000,0.01377,0.26699,16,1.20943
125,0.00013168724279835392,0.00013168724279835392,5,True,0.0013164609586598514,0,75,False,0.0013724064581672859,964000,0.01448,0.271,16,1.19395
126,0.00013168724279835392,0.00013168724279835392,5,True,0.0013211874884957314,0,74,False,0.0013637262570186525,972000,0.015,0.2706,16,1.29526
127,0.00013168724279835392,0.00013168724279835392,5,True,0.001315408620513704,0,73,False,0.0012633988086754556,980000,0.01296,0.27078,16,1.27996
128,0.00013168724279835392,0.00013168724279835392,5,True,0.0013299542666301027,0,72,False,0.0014608650816776917,988000,0.01609,0.27239,16,1.21031
129,0.00013168724279835392,0.00013168724279835392,5,True,0.0013308725881079617,0,71,False,0.0013391374814086918,996000,0.01536,0.26915,16,1.30209
130,0.00013168724279835392,0.00013168724279835392,5,True,0.001321132929797381,0,70,False,0.0012334760050021559,1000000,0.01312,0.26979,16,0.61587
131,0.00013168724279835392,0.00013168724279835392,5,True,0.0013203341607173522,0,69,False,0.0013131452389970929,1008000,0.01448,0.26657,16,1.26292
132,0.00013168724279835392,0.00013168724279835392,5,True,0.0013208232066778396,0,68,False,0.0013252246203222246,1016000,0.01401,0.27018,16,1.19774
133,0.00013168724279835392,0.00013168724279835392,5,True,0.0013015647799037283,0,67,False,0.001128238938936726,1024000,0.01201,0.26977,16,1.19336
134,0.00013168724279835392,0.00013168724279835392,5,True,0.001293721631404598,0,66,False,0.0012231332949124239,1032000,0.01292,0.26639,16,1.294
135,0.00013168724279835392,0.00013168724279835392,5,True,0.001288948534918227,0,65,False,0.0012459906665408878,1040000,0.01296,0.26967,16,1.19448
136,0.00013168724279835392,0.00013168724279835392,5,True,0.0012866659870888065,0,64,False,0.001266123056624023,1048000,0.01321,0.27034,16,1.20874
137,0.00013168724279835392,0.00013168724279835392,5,True,0.0012994191414264895,0,63,False,0.0014141975304656344,1056000,0.01576,0.26692,16,1.21411
138,0.00013168724279835392,0.00013168724279835392,5,True,0.0012936839397127645,0,62,False,0.0012420671242892398,1064000,0.01358,0.26754,16,1.28318
139,0.00013168724279835392,0.00013168724279835392,5,True,0.0013022117674997614,0,61,False,0.0013789622175827312,1072000,0.01494,0.26996,16,1.214
140,0.00013168724279835392,0.00013168724279835392,5,True,0.0012906143379254641,0,60,False,0.0011862374717567876,1080000,0.01202,0.27095,16,1.29846
141,0.00013168724279835392,0.00013168724279835392,5,True,0.0012765502365400846,0,59,False,0.0011499733240716678,1088000,0.012,0.26726,16,1.2149
142,0.00013168724279835392,0.00013168724279835392,5,True,0.0012768657805289248,0,58,False,0.0012797056764284865,1096000,0.01323,0.26589,16,1.29956
143,0.00013168724279835392,0.00013168724279835392,5,True,0.0012910422137242068,0,57,False,0.0014186301124817435,1100000,0.01743,0.26868,16,0.61413
144,0.00013168724279835392,0.00013168724279835392,5,True,0.0013031592758023318,0,56,False,0.0014122128345054573,1108000,0.01541,0.26872,16,1.20322
145,0.00013168724279835392,0.00013168724279835392,5,True,0.0013215149631246284,0,55,False,0.001486716149025298,1116000,0.01677,0.27036,16,1.25151
146,0.00013168724279835392,0.00013168724279835392,5,True,0.001315799952302197,0,54,False,0.001264364854900313,1124000,0.0122,0.26957,16,1.20809
147,0.00013168724279835392,0.00013168724279835392,5,True,0.0013180428134678328,0,53,False,0.0013382285639585538,1132000,0.01377,0.26711,16,1.2057
148,0.00013168724279835392,0.00013168724279835392,5,True,0.0013258489363634249,0,52,False,0.001396104042423754,1140000,0.01606,0.26848,16,1.19117
149,0.00013168724279835392,0.00013168724279835392,5,True,0.0013287477224775046,0,51,False,0.001354836797504223,1148000,0.01512,0.26854,16,1.21133
150,0.00013168724279835392,0.00013168724279835392,5,True,0.0013282935651401217,0,50,False,0.001324206149103674,1156000,0.01377,0.27107,16,1.27855
151,0.00013168724279835392,0.00013168724279835392,5,True,0.001317229709801874,0,49,False,0.0012176550117576465,1164000,0.01214,0.26745,16,1.21129
152,0.00013168724279835392,0.00013168724279835392,5,True,0.001320751014304695,0,48,False,0.0013524427548300849,1172000,0.01501,0.26959,16,1.26513
153,0.00013168724279835392,0.00013168724279835392,5,True,0.0013215334434464124,0,47,False,0.0013285753057218671,1180000,0.01573,0.26883,16,1.29216
154,0.00013168724279835392,0.00013168724279835392,5,True,0.0013283571515528073,0,46,False,0.0013897705245103618,1188000,0.01421,0.26923,16,1.20923
155,0.00013168724279835392,0.00013168724279835392,5,True,0.0013211604389794266,0,45,False,0.0012563900258190004,1196000,0.01288,0.26699,16,1.27342
156,0.00013168724279835392,0.00013168724279835392,5,True,0.0013313246347416146,0,44,False,0.001422802396601305,1200000,0.01596,0.27491,16,0.65858
157,0.00013168724279835392,0.00013168724279835392,5,True,0.0013326364356355954,0,43,False,0.0013444426436814232,1208000,0.01422,0.26787,16,1.20672
158,0.00013168724279835392,0.00013168724279835392,5,True,0.0013290627594567477,0,42,False,0.0012968996738471174,1216000,0.0145,0.26673,16,1.29009
159,0.00013168724279835392,0.00013168724279835392,5,True,0.0013358156694461048,0,41,False,0.0013965918593503177,1224000,0.01642,0.26997,16,1.19966
160,0.00013168724279835392,0.00013168724279835392,5,True,0.0013462386227394304,0,40,False,0.0014400452023793596,1232000,0.01654,0.26634,16,1.2102
161,0.00013168724279835392,0.00013168724279835392,5,True,0.001354244985466504,0,39,False,0.0014263022500101664,1240000,0.01625,0.26729,16,1.21293
162,0.00013168724279835392,0.00013168724279835392,5,True,0.0013595080319116788,0,38,False,0.0014068754499182506,1248000,0.01619,0.26949,16,1.2126
163,0.00013168724279835392,0.00013168724279835392,5,True,0.0013509612514306661,0,37,False,0.0012740402271015513,1256000,0.01351,0.26501,16,1.30294
164,0.00013168724279835392,0.00013168724279835392,5,True,0.0013430584344228864,0,36,False,0.00127193308135287,1264000,0.01331,0.26889,16,1.19188
165,0.00013168724279835392,0.00013168724279835392,5,True,0.0013606500176896969,0,35,False,0.0015189742670909917,1272000,0.01789,0.26486,16,1.19775
166,0.00013168724279835392,0.00013168724279835392,5,True,0.0013687181440723238,0,34,False,0.001441331281515966,1280000,0.01701,0.26774,16,1.30095
167,0.00013168724279835392,0.00013168724279835392,5,True,0.0013703551985627073,0,33,False,0.0013850886889761596,1288000,0.01477,0.26754,16,1.21622
168,0.00013168724279835392,0.00013168724279835392,5,True,0.0013489496701120575,0,32,False,0.0011562999140562092,1296000,0.0109,0.26663,16,1.21026
169,0.00013168724279835392,0.00013168724279835392,5,True,0.0013638267184558073,0,31,False,0.0014977201535495558,1300000,0.01775,0.26467,16,0.66648
170,0.00013168724279835392,0.00013168724279835392,5,True,0.001349981215621634,0,30,False,0.0012253716901140742,1308000,0.01298,0.2669,16,1.20835
171,0.00013168724279835392,0.00013168724279835392,5,True,0.0013642160694865334,0,29,False,0.0014923297542706298,1316000,0.01702,0.26903,16,1.28737
172,0.00013168724279835392,0.00013168724279835392,5,True,0.0013576446480910798,0,28,False,0.0012985018555319969,1324000,0.01417,0.26857,16,1.20777
173,0.00013168724279835392,0.00013168724279835392,5,True,0.0013491091755546002,0,27,False,0.0012722899227262832,1332000,0.01396,0.2698,16,1.2111
174,0.00013168724279835392,0.00013168724279835392,5,True,0.0013458053257505097,0,26,False,0.0013160706775136968,1340000,0.0142,0.26946,16,1.1873
175,0.00013168724279835392,0.00013168724279835392,5,True,0.0013400121695224076,0,25,False,0.001287873763469489,1348000,0.0141,0.26592,16,1.20684
176,0.00013168724279835392,0.00013168724279835392,5,True,0.0013135093417250378,0,24,False,0.0010749838915487106,1356000,0.00967,0.26872,16,1.18838
177,0.00013168724279835392,0.00013168724279835392,5,True,0.0012970532071333637,0,23,False,0.0011489479958082965,1364000,0.01097,0.26386,16,1.29528
178,0.00013168724279835392,0.00013168724279835392,5,True,0.0012968103349422118,0,22,False,0.0012946244852218437,1372000,0.01414,0.26618,16,1.27307
179,0.00013168724279835392,0.00013168724279835392,5,True,0.0013031842704014451,0,21,False,0.0013605496895345444,1380000,0.01504,0.26597,16,1.21372
180,0.00013168724279835392,0.00013168724279835392,5,True,0.0013012441639856749,0,20,False,0.0012837832062437414,1388000,0.01343,0.26757,16,1.20959
181,0.00013168724279835392,0.00013168724279835392,5,True,0.0013077678657714671,0,19,False,0.001366481181843597,1396000,0.0155,0.26455,16,1.18872
182,0.00013168724279835392,0.00013168724279835392,5,True,0.0013053712973699,0,18,False,0.001283802181755796,1400000,0.01347,0.26353,16,0.6655
183,0.00013168724279835392,0.00013168724279835392,5,True,0.0013015435723605995,0,17,False,0.001267094047276895,1408000,0.01258,0.26806,16,1.25613
184,0.00013168724279835392,0.00013168724279835392,5,True,0.0012943720429271586,0,16,False,0.0012298282780261903,1416000,0.01237,0.26647,16,1.28765
185,0.00013168724279835392,0.00013168724279835392,5,True,0.0013040758496406547,0,15,False,0.0013914101100621196,1424000,0.01572,0.26678,16,1.21771
186,0.00013168724279835392,0.00013168724279835392,5,True,0.0013262175780336298,0,14,False,0.001525493133570404,1432000,0.01828,0.26553,16,1.1942
187,0.00013168724279835392,0.00013168724279835392,5,True,0.0013166086301962584,0,13,False,0.001230128099659915,1440000,0.01345,0.26504,16,1.19367
188,0.00013168724279835392,0.00013168724279835392,5,True,0.0013134408486181947,0,12,False,0.0012849308144156231,1448000,0.01403,0.26353,16,1.20916
189,0.00013168724279835392,0.00013168724279835392,5,True,0.0013003742255519278,0,11,False,0.0011827746179555257,1456000,0.01151,0.26357,16,1.27695
