corrida,rl_games,rl_hours,progress_hours,win,low,high
warmup,0,0.0,0.010491666666666668,62.580000000000005,62.27958808729102,62.87944540327841
warmup,100000,0.012191666666666667,0.03256388888888889,63.71,63.41145314198234,64.00749353176224
warmup,200000,0.024297222222222224,0.05476388888888889,64.13,63.832191529564334,64.42672287597986
warmup,300000,0.036475,0.07673055555555557,64.339,64.04156818447589,64.63533016379715
warmup,400000,0.04861388888888889,0.09864166666666667,64.387,64.089655557667,64.68323910281174
warmup,500000,0.06088611111111111,0.12074444444444445,64.366,64.06861729190841,64.66227898198032
warmup,600000,0.07299444444444443,0.142625,64.30399999999999,64.00650467965204,64.60039635763769
warmup,700000,0.08520000000000001,0.16456944444444446,64.47,64.17280740779175,64.76608087587596
warmup,800000,0.09728611111111111,0.18645833333333334,64.483,64.18583127969826,64.77905600519179
warmup,900000,0.10947777777777778,0.20859166666666668,64.564,64.26698055845307,64.85990050328407
warmup,1000000,0.12163611111111111,0.230625,64.68,64.38319595848246,64.97567619108506
warmup,1100000,0.133725,0.2526111111111111,64.622,64.32508802005779,64.91778858559454
warmup,1200000,0.14589444444444447,0.27442500000000003,64.7,64.40323328928397,64.99563732370255
warmup,1300000,0.15801944444444443,0.29633888888888893,64.751,64.45432873988845,65.04653795481661
warmup,1400000,0.17009444444444446,0.31834999999999997,64.835,64.53848675849986,65.13037348256513
warmup,1500000,0.182225,0.3403083333333334,64.962,64.66572757510163,65.25712290867418
warmup,1600000,0.1943861111111111,0.36247222222222225,65.045,64.74888620230037,65.3399579046644
warmup,1700000,0.20636388888888887,0.3842888888888889,64.988,64.69177715974583,65.28307132647474
warmup,1800000,0.2185111111111111,0.4060638888888889,64.99000000000001,64.69378097794575,65.28506735461671
warmup,1900000,0.23076944444444444,0.4282138888888889,65.008,64.71181536744484,65.30303158219475
warmup,2000000,0.242875,0.4503416666666667,64.90899999999999,64.61262679736433,65.20422775835104
warmup,2100000,0.2550527777777778,0.47255555555555556,65.007,64.71081345570336,65.30203357076529
warmup,2200000,0.2671222222222222,0.4942777777777778,64.961,64.66472566992645,65.25612489067841
warmup,2300000,0.2792888888888889,0.5163333333333334,64.902,64.60561351703826,65.19724157648048
warmup,2400000,0.2914083333333333,0.5384111111111111,64.935,64.63867618544437,65.23017637271576
warmup,2500000,0.30361666666666665,0.560575,65.003,64.70680581016552,65.29804152361932
warmup,2600000,0.3158694444444445,0.5827916666666667,65.067,64.7709284130665,65.36191400365922
warmup,2700000,0.32808055555555554,0.6048083333333333,64.953,64.65671043366133,65.24814074157594
warmup,2800000,0.3402611111111111,0.6269166666666667,65.114,64.81801882249194,65.4088199832685
warmup,2900000,0.3523194444444444,0.6488361111111111,65.183,64.88715212404679,65.47768138050931
warmup,3000000,0.36445555555555553,0.6708250000000001,65.044,64.74788428527297,65.33895989852087
warmup,3100000,0.3767,0.6929055555555556,65.13799999999999,64.84206511092101,65.43277185094225
warmup,3200000,0.3888361111111111,0.7146888888888889,65.096,64.79998416026915,65.39085602841416
warmup,3300000,0.4009638888888889,0.7368555555555556,65.159,64.86310568094862,65.45372966750465
warmup,3400000,0.41315277777777776,0.7589694444444445,65.172,64.87613082738244,65.46670352229317
warmup,3500000,0.42535555555555554,0.7809833333333334,65.202,64.90618895004016,65.49664309476401
warmup,3600000,0.43749166666666667,0.8030583333333334,65.32,65.02441881843818,65.61440416053827
warmup,3700000,0.4496916666666667,0.825338888888889,65.244,64.94827053854759,65.53855827943653
warmup,3800000,0.4618027777777778,0.8473055555555556,65.20899999999999,64.91320253055662,65.50362897644419
warmup,3900000,0.4739861111111111,0.8692805555555555,65.197,64.90117925397227,65.49165317497713
warmup,4000000,0.48608333333333337,0.8912277777777778,65.182,64.88615018726989,65.47668339411523
warmup,4100000,0.4982611111111111,0.9131222222222223,65.434,65.13864279503292,65.728171425432
warmup,4200000,0.5104083333333334,0.9351916666666668,65.315,65.01940903768802,65.60941432543366
warmup,4300000,0.5226638888888888,0.957238888888889,65.389,65.09355415983566,65.68326351793642
warmup,4400000,0.5347833333333334,0.9793472222222224,65.38199999999999,65.08654039833665,65.67627781723877
warmup,4500000,0.5468583333333333,1.001352777777778,65.471,65.17571589136182,65.76509548642831
warmup,4600000,0.5590138888888889,1.0231611111111112,65.354,65.0584854228363,65.6483349439525
warmup,4700000,0.5712,1.0452694444444446,65.5,65.20477332102446,65.79403582872325
warmup,4800000,0.5834416666666666,1.0674277777777779,65.474,65.17872182673827,65.7680893205647
warmup,4900000,0.5956527777777777,1.0896666666666668,65.507,65.21178720152798,65.8010214104164
warmup,5000000,0.6078250000000001,1.1118305555555557,65.456,65.16068623393845,65.7501262962874
warmup,5100000,0.6199333333333334,1.133863888888889,65.456,65.16068623393845,65.7501262962874
warmup,5200000,0.6321083333333334,1.1560055555555557,65.474,65.17872182673827,65.7680893205647
warmup,5300000,0.6443527777777778,1.178091666666667,65.523,65.22781895493833,65.81698842774126
warmup,5400000,0.6565166666666666,1.1999750000000002,65.429,65.13363293227837,65.72318167233179
warmup,5500000,0.668675,1.2220166666666668,65.489,65.19375152308372,65.7830584717835
warmup,5600000,0.6809194444444444,1.2441527777777779,65.413,65.11760139565858,65.70721443821635
warmup,5700000,0.6932333333333333,1.2662277777777777,65.487,65.19174756169656,65.78106258682878
warmup,5800000,0.7055888888888888,1.2885444444444445,65.469,65.17371193516495,65.76309959628325
warmup,5900000,0.7178305555555555,1.3106166666666668,65.534,65.2388408068366,65.82796573072346
warmup,6000000,0.7299666666666667,1.3326416666666667,65.63900000000001,65.34405027272925,65.93274819778073
warmup,6100000,0.7422027777777778,1.3549277777777777,65.59,65.29495232372705,65.88384991140629
warmup,6200000,0.7544555555555555,1.3771638888888889,65.59,65.29495232372705,65.88384991140629
warmup,6300000,0.7666555555555555,1.3993083333333334,65.592,65.29695631485134,65.8858457666239
warmup,6400000,0.7788694444444444,1.4213583333333333,65.55499999999999,65.259882572598,65.84892235155202
warmup,6500000,0.7910611111111111,1.443536111111111,65.738,65.44324922978768,66.03154163464646
warmup,6600000,0.8033138888888889,1.4658166666666665,65.567,65.27190646733702,65.86089753486442
warmup,6700000,0.8154,1.4876972222222222,65.726,65.43122503817413,66.01956674820859
warmup,6800000,0.8275250000000001,1.5098333333333331,65.74799999999999,65.45326940541014,66.04152069073352
warmup,6900000,0.8397972222222222,1.5320083333333332,65.736,65.44124519640272,66.02954582168955
warmup,7000000,0.8520694444444444,1.5542583333333333,65.75,65.45527344227432,66.04351650021124
warmup,7100000,0.8642055555555556,1.5764416666666667,65.66499999999999,65.37010238668317,65.9586940862715
warmup,7200000,0.8763972222222223,1.598747222222222,65.655,65.36008233127914,65.94871490996603
warmup,7300000,0.8886000000000001,1.620938888888889,65.62599999999999,65.33102425242505,65.91977521686252
warmup,7400000,0.9009138888888889,1.643338888888889,65.669,65.37411041289708,65.96268575274141
warmup,7500000,0.9131472222222222,1.6654972222222222,65.606,65.31098426890806,65.89981673696049
warmup,7600000,0.9254861111111111,1.6877583333333335,65.727,65.43222705334483,66.02056465620886
warmup,7700000,0.9376805555555556,1.709947222222222,65.8,65.50537455242744,66.0934115486057
warmup,7800000,0.9498277777777778,1.7320166666666668,65.778,65.48333001927918,66.07145777199302
warmup,7900000,0.9620638888888888,1.754261111111111,65.71000000000001,65.41519281514962,66.00360020049789
warmup,8000000,0.9742888888888889,1.7764194444444446,65.823,65.52842118492073,66.1163631490443
warmup,8100000,0.9865638888888889,1.7986777777777778,65.93599999999999,65.64165140890088,66.22912424338165
warmup,8200000,0.998738888888889,1.820863888888889,65.946,65.65167187215837,66.23910301183369
warmup,8300000,1.0110305555555557,1.8430388888888891,65.888,65.59355338782942,66.18122595224747
warmup,8400000,1.02335,1.8651861111111112,65.852,65.55748009190633,66.14530201401628
warmup,8500000,1.0356138888888888,1.8874583333333335,65.904,65.60958602427776,66.19719208653433
warmup,8600000,1.0477972222222223,1.9099583333333334,65.913,65.61860439864347,66.20617302070718
warmup,8700000,1.0600166666666666,1.932147222222222,66.013,65.71880935168666,66.30596038475916
warmup,8800000,1.0722138888888888,1.9541083333333333,65.84299999999999,65.54846179735449,66.13632100002955
warmup,8900000,1.0843916666666666,1.976086111111111,65.891,65.59655950432757,66.18421960526214
warmup,9000000,1.0966805555555557,1.9981694444444447,65.833,65.5384414838755,66.12634208179902
warmup,9100000,1.1089472222222223,2.0204944444444446,65.823,65.52842118492073,66.1163631490443
warmup,9200000,1.1212666666666666,2.0429694444444446,65.935,65.64064936337577,66.22812636573583
warmup,9300000,1.1336916666666668,2.0653444444444444,65.908,65.61359418920779,66.20118361428811
warmup,9400000,1.1459333333333332,2.0875333333333335,65.8,65.50537455242744,66.0934115486057
warmup,9500000,1.1581916666666665,2.1097194444444445,65.95100000000001,65.65668210924656,66.24409239060026
warmup,9600000,1.1704833333333333,2.1319055555555555,65.82000000000001,65.52541509806605,66.11336946638612
warmup,9700000,1.182713888888889,2.1543361111111112,65.92099999999999,65.62662074130613,66.21415606341213
warmup,9800000,1.1949111111111113,2.1763444444444446,65.97,65.67572104338318,66.26305199671172
warmup,9900000,1.2071138888888888,2.1987027777777777,65.958,65.66369644728557,66.25107751475792
warmup,10000000,1.2194444444444446,2.2211611111111114,65.972,65.67772514477196,66.26504774166484
warmup,10100000,1.231775,2.2435416666666668,65.913,65.61860439864347,66.20617302070718
warmup,10200000,1.244102777777778,2.2658416666666668,65.997,65.70277646130369,66.2899945044069
warmup,10300000,1.256288888888889,2.287902777777778,66.04100000000001,65.74686699967678,66.33390058555568
warmup,10400000,1.2685638888888888,2.3102250000000004,65.975,65.68073129794763,66.26804135800201
warmup,10500000,1.2807916666666668,2.332441666666667,65.934,65.63964731799621,66.22712848794443
warmup,10600000,1.293125,2.3545444444444446,66.00200000000001,65.70778673553967,66.29498384602569
warmup,10700000,1.3053305555555554,2.376711111111111,66.006,65.71179495755219,66.29897531669697
warmup,10800000,1.3176305555555556,2.3991000000000007,65.957,65.66269439855742,66.25007964031509
warmup,10900000,1.3299666666666667,2.421594444444445,65.999,65.7047805705608,66.29199024149169
warmup,11000000,1.34215,2.4437638888888893,66.024,65.72983198547533,66.31693690585094
warmup,11100000,1.3544222222222222,2.466091666666667,66.053,65.75889174096703,66.34587492231682
warmup,11200000,1.3666277777777778,2.4881555555555557,66.018,65.72381963758518,66.31094971471538
warmup,11300000,1.3789416666666665,2.510563888888889,65.917,65.6226125688108,66.21016454322367
warmup,11400000,1.3912277777777777,2.532713888888889,65.95400000000001,65.65968825324671,66.24708601611295
warmup,11500000,1.4036083333333333,2.555,65.955,65.660690301538,66.24808389099263
warmup,11600000,1.4159083333333335,2.5772638888888895,66.014,65.71981140857474,66.306958251042
warmup,11700000,1.4281861111111112,2.599530555555556,65.902,65.60758194268553,66.19519632178466
warmup,11800000,1.4404444444444446,2.621855555555556,65.93599999999999,65.64165140890088,66.22912424338165
warmup,11900000,1.4526916666666665,2.644133333333333,66.07600000000001,65.78193922051248,66.36882567570326
warmup,12000000,1.465011111111111,2.6663305555555556,65.964,65.66970874271274,66.25706475835645
warmup,12100000,1.4771694444444445,2.6884611111111107,65.997,65.70277646130369,66.2899945044069
warmup,12200000,1.4893583333333331,2.7106,66.174,65.88014239074171,66.46661497622728
warmup,12300000,1.501577777777778,2.7327194444444447,66.109,65.81500747824886,66.40175488260827
warmup,12400000,1.513863888888889,2.7549527777777776,66.141,65.8470738195121,66.43368608281548
warmup,12500000,1.5261222222222222,2.777083333333333,66.117,65.82302404953502,66.40973769668975
warmup,12600000,1.5384305555555557,2.7994083333333335,66.084,65.78995575323859,66.37680852834478
warmup,12700000,1.550747222222222,2.8217333333333334,66.105,65.81099919611229,66.39776347206104
warmup,12800000,1.5630055555555555,2.843891666666667,66.254,65.96030928555228,66.54644193509282
warmup,12900000,1.5752416666666667,2.866002777777778,66.147,65.85308627516278,66.43967316619053
warmup,13000000,1.5876,2.8882250000000003,66.154,65.86010081340828,66.44665809014168
warmup,13100000,1.5999833333333333,2.910708333333333,66.168,65.874129911398,66.46062791654528
warmup,13200000,1.6122666666666667,2.933091666666667,66.11,65.81600954914825,66.40275273487984
warmup,13300000,1.6244944444444445,2.9553833333333337,66.113,65.81901576272303,66.40574629081792
warmup,13400000,1.636775,2.977719444444445,66.083,65.7889536861368,66.37581067227563
warmup,13500000,1.6490277777777778,3.0000277777777775,66.07600000000001,65.78193922051248,66.36882567570326
warmup,13600000,1.6613666666666667,3.0222249999999997,66.05799999999999,65.76390205603944,66.35086422309917
warmup,13700000,1.6737,3.0442888888888886,66.039,65.74486287817095,66.33190486071959
warmup,13800000,1.6859111111111111,3.0666249999999997,65.994,65.69977029851111,66.28700089768662
warmup,13900000,1.6982444444444444,3.088891666666666,66.092,65.79797229531006,66.3847913716409
warmup,14000000,1.7105083333333333,3.111158333333333,66.212,65.91822154892509,66.50453289854008
warmup,14100000,1.722711111111111,3.1332833333333334,66.146,65.85208419885547,66.4386753193269
warmup,14200000,1.7348694444444444,3.1555861111111114,66.213,65.91922363488972,66.50553073574639
warmup,14300000,1.7470750000000002,3.177588888888889,66.14999999999999,65.85609250496204,66.44266670590412
warmup,14400000,1.7593805555555557,3.2000833333333336,66.186,65.89216736523085,66.47858907978956
warmup,14500000,1.7715916666666665,3.222008333333333,66.115,65.82101990583679,66.40774199404606
warmup,14600000,1.7838472222222224,3.244580555555556,66.168,65.874129911398,66.46062791654528
warmup,14700000,1.7961861111111113,3.266597222222223,66.201,65.9071986129775,66.4935566796072
warmup,14800000,1.8084166666666668,3.2888694444444444,66.223,65.92924450259024,66.51550909975536
warmup,14900000,1.8207277777777777,3.311291666666667,66.09899999999999,65.80498677729,66.39177635185763
warmup,15000000,1.8329833333333332,3.3334083333333333,66.11399999999999,65.82001783420685,66.40674414250505
warmup,15100000,1.8452555555555556,3.3555555555555556,66.17,65.87613407059406,66.46262360369111
warmup,15200000,1.857611111111111,3.377711111111111,66.152,65.85809665889269,66.44466239831537
warmup,15300000,1.8699861111111111,3.3999888888888887,66.27199999999999,65.97834696609276,66.56440287162947
warmup,15400000,1.882225,3.422127777777778,66.264,65.97033021332228,66.55642023903235
warmup,15500000,1.8945166666666666,3.4444138888888887,66.216,65.9222298936622,66.50852424648674
warmup,15600000,1.906863888888889,3.4667722222222226,66.23,65.93625911869486,66.5224939458474
warmup,15700000,1.919063888888889,3.488930555555556,66.297,66.0033993789879,66.58934853800811
warmup,15800000,1.9312916666666666,3.511152777777778,66.226,65.93225076575624,66.51850260610222
warmup,15900000,1.9435833333333332,3.533338888888889,66.227,65.93325285377118,66.51950044125823
warmup,16000000,1.9558166666666665,3.5557694444444445,66.12599999999999,65.83204270341062,66.4187183513527
warmup,16100000,1.9681027777777778,3.57775,66.2,65.90619652876977,66.49255884064398
warmup,16200000,1.9804861111111112,3.6000527777777775,66.121,65.827032338685,66.41372910022355
warmup,16300000,1.9929388888888888,3.6226027777777774,66.173,65.87914031048537,66.46561713331269
warmup,16400000,2.0052694444444445,3.6446805555555555,66.228,65.93425494193261,66.52049827626777
warmup,16500000,2.017613888888889,3.666844444444444,66.255,65.96131137766972,66.54743976614634
warmup,16600000,2.0299305555555556,3.6892083333333336,66.225,65.93124867788778,66.51750477079975
warmup,16700000,2.0423666666666667,3.711758333333334,66.226,65.93225076575624,66.51850260610222
warmup,16800000,2.0546694444444444,3.734022222222222,66.208,65.91421320653076,66.5005415482506
warmup,16900000,2.0668972222222224,3.75615,66.137,65.84306551866905,66.42969469097473
warmup,17000000,2.0792083333333333,3.7782916666666666,66.228,65.93425494193261,66.52049827626777
warmup,17100000,2.0915055555555555,3.8006444444444445,66.297,66.0033993789879,66.58934853800811
warmup,17200000,2.1036777777777775,3.8227083333333334,66.27199999999999,65.97834696609276,66.56440287162947
warmup,17300000,2.1158916666666667,3.8448027777777782,66.22200000000001,65.92824241516117,66.51451126401349
warmup,17400000,2.1282972222222223,3.8670805555555554,66.194,65.90018402659742,66.4865718037906
warmup,17500000,2.140766666666667,3.8895500000000003,66.199,65.90519444470841,66.49156100153435
warmup,17600000,2.1531277777777778,3.911827777777778,66.202,65.90820069733162,66.49455451842402
warmup,17700000,2.16555,3.934219444444444,66.31,66.01642666992463,66.60232024829376
warmup,17800000,2.1777833333333336,3.9564777777777778,66.255,65.96131137766972,66.54743976614634
warmup,17900000,2.190236111111111,3.978980555555556,66.13900000000001,65.84506966879819,66.4316903871875
warmup,18000000,2.2024583333333334,4.0012388888888895,66.152,65.85809665889269,66.44466239831537
warmup,18100000,2.214758333333333,4.02358888888889,66.178,65.88415071323027,66.47060634642253
warmup,18200000,2.227036111111111,4.045830555555556,66.312,66.01843087073121,66.6043158938291
warmup,18300000,2.2393944444444442,4.068477777777778,66.253,65.95930719358142,66.54544410389272
warmup,18400000,2.251697222222222,4.090666666666667,66.35600000000001,66.0625234370286,66.64821994705358
warmup,18500000,2.2640555555555557,4.113019444444444,66.239,65.94527792137639,66.53147445170447
warmup,18600000,2.2764305555555553,4.135430555555556,66.283,65.98937001647408,66.57537897612863
warmup,18700000,2.288688888888889,4.157738888888889,66.375,66.08156349673521,66.667178427595
warmup,18800000,2.301013888888889,4.180116666666667,66.28399999999999,65.99037211284315,66.5763768029305
warmup,18900000,2.3132777777777775,4.2023777777777775,66.351,66.05751290381473,66.64323086441269
warmup,19000000,2.3256166666666664,4.224716666666667,66.445,66.151711543047,66.73702500324983
warmup,19100000,2.3379055555555555,4.247383333333333,66.348,66.05450658564888,66.64023741306568
warmup,19200000,2.3502805555555555,4.269808333333334,66.428,66.13467552268213,66.72006232970853
warmup,19300000,2.3625388888888885,4.29215,66.404,66.11062474278225,66.69611495350557
warmup,19400000,2.3748805555555554,4.314508333333333,66.43599999999999,66.14269246814473,66.72804476961353
warmup,19500000,2.3872083333333336,4.336716666666667,66.363,66.0695381896974,66.65520465658142
warmup,19600000,2.3995027777777773,4.359019444444444,66.333,66.03947501464434,66.62527013650593
