corrida,descricao,commit,iteracoes,partidas,tempo_rl_h,vitoria_inicial,vitoria_final,vitoria_melhor,partidas_ate_melhor,media_ate_fim_da_escada,media_horizonte_comum,media_12M_ate_horizonte_comum,vitoria_5M,vitoria_10M,vitoria_horizonte_comum,segundos_por_iteracao_update,segundos_por_iteracao_rollout,ms_por_passo_otimizador,paradas_por_kl,entropia_15M_ate_horizonte_comum,rollout_s,ppo_s,rl_total_s,diagnostico_s,partidas_por_segundo_rl
warmup,"código atual, --warmup-lr, GPI 8000, lr 0,001, turn-turn",2c3e046,2903,22332000,2.7368078554016675,62.580000000000005,66.391,66.574,21100000,65.24760714285715,65.68352272727272,66.16443859649122,65.456,65.972,66.202,1.21655,2.0564,1.1602083333333333,0,0.23162,5811.426672315956,3244.9228131560376,9932.71732740296,8072.357368251984,2266.630929566263
gpi12000,"código atual, sem warmup, GPI 12000, lr 0,001, turn-turn",2c3e046,2249,24996000,3.1054925878894406,62.580000000000005,66.557,66.692,22300000,65.80519047619048,66.07882386363636,66.3569298245614,66.037,66.372,66.29,1.92478,3.1258299999999997,1.2205808080808083,0,0.22007,6580.865554082003,3707.1110390409535,11267.992400875004,6735.971013931001,2235.823508454152
gpi8000_old,"código antigo, sem warmup, GPI 8000, lr 0,01, decision-decision",066fa27,2300,17696000,3.5891546887858317,62.580000000000005,65.788,66.00200000000001,15700000,65.22091666666667,65.47427840909091,65.78752631578948,65.601,65.692,65.788,2.750525,1.77158,2.6140135967887836,8,0.24062,4293.9770582460005,7846.302981041947,12997.20525840301,5018.020371867998,1369.558010668643
lr0p001_old,"código antigo, sem warmup, GPI 2000, lr 0,001, decision-decision",87b1ce1,9380,18760000,3.787625223014449,62.580000000000005,66.334,66.39699999999999,16200000,65.54983333333332,65.82077272727273,66.12315789473683,65.766,65.91799999999999,66.263,0.7256149999999999,0.638095,2.7625919117647055,0,0.22132,6069.762150552028,6680.71622888496,13761.19544121698,5072.288035363001,1375.8254326344768
