expoente,lr,iteracao_inicial,iteracao_final,iteracoes,partidas_inicio_M,kl_mediana,kl_p95,kl_max,ema_max,clip_mediana,entropia_mediana,passo_lr,passo_passo_warmup,passo_passo_lr_fixo,passo_razao_passo,passo_razao_lr,passo_intervalos
6,8.779149519890261e-05,1,100,100,0.0,0.0012457574673295224,0.0015009670105642734,0.0016934289513683564,0.001380222858190193,0.01324,0.27323,8.779149519890261e-05,0.004517504407956376,0.03479254646312198,0.1298411547066456,0.08779149519890261,10
5,0.00013168724279835392,101,300,200,0.772,0.0013132900142356838,0.0015193002104149623,0.0018016491615447145,0.0014093848666580466,0.014114999999999999,0.26676,0.00013168724279835392,0.005638795987034223,0.03355901263027933,0.16802627804211678,0.13168724279835392,20
4,0.00019753086419753088,301,500,200,2.308,0.0013747769119965658,0.0016106681416851597,0.0018441904310357805,0.0014661961092097449,0.014875,0.260895,0.00019753086419753088,0.007593268243570103,0.033277914606114824,0.2281774063503017,0.19753086419753088,20
3,0.0002962962962962963,501,700,200,3.848,0.0013876763052150774,0.0016599713630140447,0.0018879920494356316,0.001469326150508242,0.0148,0.25783500000000004,0.0002962962962962963,0.010485494924375217,0.03288929401879033,0.3188117968839537,0.2962962962962963,20
2,0.00044444444444444447,701,900,200,5.388,0.0014497514609397026,0.0017061350077958951,0.0020119251395699844,0.001532923000916926,0.015995000000000002,0.25436000000000003,0.00044444444444444447,0.01457863947826539,0.03267593678486412,0.44615827158223625,0.4444444444444445,20
1,0.0006666666666666666,901,1100,200,6.924,0.0015809149444946406,0.0018294162479622741,0.0020713044645121904,0.0016745344437380256,0.018625000000000003,0.251805,0.0006666666666666666,0.020438020028977225,0.03256918165513023,0.6275263605144303,0.6666666666666666,20
0,0.001,1101,2903,1803,8.464,0.0018137948868697017,0.0020637438274774375,0.0024366356747499065,0.0019558047656972203,0.02358,0.23342,0.001,0.02812624519994053,0.03218570387575299,0.8738738574280291,1.0,114
