key,gpi,config,git_commit,learning_rate,reward_distance_mode,games_total,iterations_total,rl_hours,million_games_per_rl_hour,late_16_17,max_to_17,max_to_17_games,auc_to_17,final_win_rate,oscillation_pp,updates,shortened_updates,mean_games_per_update,optimizer_steps_per_million_games,optimizer_steps_per_update,decisions_per_game,kl_median,kl_p90,epochs_mean,stopped_by_kl_percent,clip_fraction_median,entropy_first_20,entropy_last_20,update_share_of_iteration_time
gpi1000,1000,antiga,4da4b03,0.01,decision-decision,18600000,18600,3.6287315020808233,5.1257006119302675,65.2119090909091,65.553,17000000.0,64.89599705882353,65.39,0.13308352892230893,17000,0,1000.0,128087.5294117647,128.0,4.227401176470588,0.00631,0.00807,15.999176470588235,0.02941176470588235,0.10089,0.2755675,0.2501295,0.5191731880749202
gpi2000,2000,antiga,6aa9f95,0.01,decision-decision,17200000,8600,3.1743994237227717,5.4182614311140505,65.42663636363638,65.78699999999999,15700000.0,65.11090294117648,65.457,0.10680054426377733,8500,0,2000.0,132504.29411764705,272.0,4.229691823529412,0.00611,0.00819,15.993882352941176,0.07058823529411765,0.0922,0.273431,0.24888149999999998,0.5505993743055535
gpi4000,4000,antiga,4da4b03,0.01,decision-decision,21168000,5292,3.4674066399066668,6.104313361181518,65.54872727272728,65.991,14700000.0,65.26562647058823,65.766,0.09382565933557453,4250,0,4000.0,131906.88235294117,528.0,4.231918352941176,0.00611,0.00823,15.984941176470588,0.3058823529411765,0.085315,0.272366,0.2520885,0.5862926940348
gpi8000,8000,antiga,066fa27,0.01,decision-decision,17696000,2300,3.5891546887858317,4.948851711751258,65.76127272727273,66.00200000000001,15700000.0,65.45355294117647,65.788,0.06898957444397082,2210,170,7692.307692307692,132040.0588235294,1056.0,4.234470352941177,0.00621,0.008521,15.98235294117647,0.39215686274509803,0.07874,0.271418,0.2415775,0.6247325503758144
gpi8000_nova,8000,nova,2c3e046,0.001,turn-turn,23280000,3026,3.149171048294714,7.391418626693535,66.45109090909092,66.52799999999999,14000000.0,66.08004705882352,66.545,0.049149948530252376,2210,170,7692.307692307692,132511.0588235294,1056.0,4.243332588235294,0.00182,0.00202,16.0,0.0,0.02361,0.27953300000000003,0.21898050000000002,0.365071240697459
gpi12000_nova,12000,nova,2c3e046,0.001,turn-turn,24996000,2249,3.1054925878894406,8.0486221538235,66.4170909090909,66.581,16700000.0,66.05611764705883,66.557,0.051368879919620206,1530,170,11111.111111111111,132620.23529411765,1600.0,4.243415294117647,0.00183,0.00204,16.0,0.0,0.023425,0.27859249999999997,0.21886,0.36256470814228614
